SoA Element - Raw Text Extract,Standard Activity - Display in UI
HbA1c,Hemoglobin A1c (HbA1c),Labs
Randomization,Randomization/IWRS,Study Procedures
Height,Height,Physical Examination
Weight,Weight,Physical Examination
Hematology,Hematology,Labs
Concomitant medications,Concomitant medications,Physical Examination
Calcitonin,Calcitonin,Labs
Informed consent,Informed Consent,Study Procedures 
Chemistry panel,Comprehensive Metabolic Panel (Clinical Chemistry),Labs
Lipid panel,Lipid panel,Labs
Electrocardiogram,12-lead ECG (central or local),Procedures
Medical history,Prespecified medical history (indication and history of interest),Physical Examination
Adverse events,Adverse events (AEs),Physical Examination
Dispense study drug,Dispense Study Drug,Study Procedures
Physical examination,Physical examination,Physical Examination
Waist circumference,Waist Circumference,Physical Examination
ECG,12-lead ECG (central or local),Procedures
Telephone Visit,Telephone Call,Study Procedures
IWRS,Randomization/IWRS,Study Procedures
"Pancreatic amylase, lipase",Pancreatic Amylase,Labs
Urinalysis,Urinalysis,Labs
Assess study drug compliance,Assess study drug compliance,Study Procedures
EQ-5D-5L,EQ-5D-5L,Questionnaires
Pregnancy test,Urine pregnancy (local),Labs
Serum pregnancy test,Serum pregnancy,Labs
C-peptide,C-Peptide,Labs
Urine pregnancy test,Urine pregnancy (local),Labs
Fasting serum glucose,Glucose,Labs
Follicle-stimulating hormone test,Follicle Stimulating Hormone (FSH),Labs
APPADL,APP ADL,Questionnaires
Chemistry,Comprehensive Metabolic Panel (Clinical Chemistry),Labs
Demographic data,Demographics,Physical Examination
Diabetes education,Patient Education,Study Procedures 
Drug accountability,Assess study drug compliance,Study Procedures
eGFR (CKD-EPI),eGFR (CKD-EPI),Labs
Immunogenicity,Immunogencity (ADA) samples,Labs
Physical,Physical examination,Physical Examination
Review/record hypoglycemic events,Hypoglycemic events review,Study Procedures
Urinary albumin/creatinine ratio,Urinary albumin/creatinine ratio (UACR),Labs
"BG meter, SMBG training",Dispense and train on use of blood glucose meter,Study Procedures
Body weight,Weight,Physical Examination
Concomitant medication,Concomitant medications,Physical Examination
Dispense IP,Dispense Study Drug,Study Procedures
"Dispense study diary, instruct in use",Patient diary dispensed,Study Procedures 
ITSQ,IT-SQ,Questionnaires
Medical History,Prespecified medical history (indication and history of interest),Physical Examination
Observe patient inject study drug,Observe patient administer study drug,Study Procedures 
Preexisting conditions,Prespecified medical history (indication and history of interest),Physical Examination
Collect diaries,Diary return,Study Procedures
Collect study drug,Patient returns study drugs and injection supplies,Study Procedures
Dispense PG meter/supplies,Dispense ancillary supplies to patient,Study Procedures
Distribute diaries,Patient diary dispensed,Study Procedures 
Drug accountability log,Assess study drug compliance,Study Procedures
IVRS,Randomization/IWRS,Study Procedures
IW-SP,IW-SP,Questionnaires
LBSS,Patient-Reported Outcomes (Paper),Study Procedures
Lipid panel (fasting),Lipid panel,Labs
Patient demographics,Demographics,Physical Examination
Patient returns study drugs and injection supplies,Patient returns study drugs and injection supplies,Study Procedures
Pharmacogenetic sample,PK sample for immunogenicity,Labs
Subcutaneous injection training,Injection Training,Study Procedures 
Adverse Events,Adverse events (AEs),Physical Examination
Adverse events and product complaints,Adverse events (AEs),Physical Examination
Clinical chemistry and hematology,Comprehensive Metabolic Panel (Clinical Chemistry),Labs
CV Risk Assessment,Prespecified medical history (indication and history of interest),Physical Examination
DTSQc,DTSQc,Questionnaires
DTSQs,DTSQs,Questionnaires
eGFR,eGFR (CKD-EPI),Labs
EQ-5D,EQ-5D-5L,Questionnaires
EQ5D5L,EQ-5D-5L,Questionnaires
Fasting glucagon,Glucagon,Labs
Hemoglobin A1c,Hemoglobin A1c (HbA1c),Labs
Inclusion and exclusion criteria review,"Inclusion and exclusion criteria, review and confirm",Study Procedures 
Lipase,Lipase,Labs
Liver tests,Hepatic Panel (Liver Tests),Labs
Patient summary,"Preexisting conditions and medical history, including relevant surgical history",Physical Examination
Pharmacogenetic stored sample,PK sample for immunogenicity,Labs
Physical exam,Physical examination,Physical Examination
Physical Examination,Physical examination,Physical Examination
Previous diabetes therapy,"Preexisting conditions and medical history, including relevant surgical history",Physical Examination
Review insulin dose and adjustment per TTT algorithm,Study Drug Dose Adjustment,Study Procedures
Review study diary,Diary return,Study Procedures
Review/return study diary,Diary return,Study Procedures
Serum pregnancy,Serum pregnancy,Labs
"Training on glucose meter, hypoglycemia, diary completion",Dispense and train on use of blood glucose meter,Study Procedures
Urinalysis (dipstick),Urinalysis,Labs
Vital signs,Vital Signs,Physical Examination
Vital signs (2 sitting BP and HR),Vital Signs,Physical Examination
7-point SMBG,SMBG Profile,Study Procedures
Assess compliance with insulin dose adjustment TTT algorithm,Study Drug Dose Adjustment,Study Procedures
Assess study intervention(s) compliance,Assess study drug compliance,Study Procedures
Demographics,Demographics,Physical Examination
Dilated fundoscopic examination,Dilated fundoscopic examination,Procedures
"Dispense BG meter/supplies, as needed",Dispense and train on use of blood glucose meter,Study Procedures
DNA sample (storage),Stored Samples,Labs
Drug dose: OAM dose,Observe patient administer study drug,Study Procedures 
ECG (local),12-lead ECG (central or local),Procedures
Fasting blood glucose,Glucose,Labs
Free fatty acids,Free Fatty Acids,Labs
FSH,Follicle Stimulating Hormone (FSH),Labs
"Hand out diary, instruct in use",Patient diary dispensed,Study Procedures 
Hypoglycemic events,Hypoglycemic events review,Study Procedures
Hypoglycemic events recorded,Hypoglycemic events review,Study Procedures
Inclusion/Exclusion Criteria,"Inclusion and exclusion criteria, review and confirm",Study Procedures 
Informed consent signed,Informed Consent,Study Procedures 
Insulin,Insulin,Labs
Medical assessment (including skin assessment),Physical examination,Physical Examination
Medical history and preexisting conditions,Prespecified medical history (indication and history of interest),Physical Examination
Pancreatic amylase,Pancreatic Amylase,Labs
"Patient Education/Training (diabetes education, glucose management, dietary instructions)",Patient Education,Study Procedures 
Physical exam/height,Physical examination,Physical Examination
PK sample for Immunogenicity,PK sample for immunogenicity,Labs
"Preexisting conditions and medical history, including relevant surgical history","Preexisting conditions and medical history, including relevant surgical history",Physical Examination
Pregnancy test (females only),Urine pregnancy (local),Labs
Study drug injection training,Injection Training,Study Procedures 
"Total amylase, lipase",Pancreatic Amylase,Labs
Urinalysis panel,Urinalysis,Labs
Urine pregnancy (local),Urine pregnancy (local),Labs
"Vital signs (sitting SBP, DBP, pulse)",Vital Signs,Physical Examination
4-point SMBG,SMBG Profile,Study Procedures
6-point SMBG,SMBG Profile,Study Procedures
AEs events recorded,Adverse events (AEs),Physical Examination
Anti-insulin lispro antibodies,Anti-Drug Antibodies,Labs
Antibodies to LY2605541,Anti-Drug Antibodies,Labs
BG meter training,Dispense and train on use of blood glucose meter,Study Procedures
Cardiovascular events,Prespecified medical history (indication and history of interest),Physical Examination
Collect insulin doses,Patient returns study drugs and injection supplies,Study Procedures
Concom Meds recorded,Concomitant medications,Physical Examination
Concomitant Medication,Concomitant medications,Physical Examination
Daily Fasting SMBG,SMBG Profile,Study Procedures
Diabetes management counseling,Patient Education,Study Procedures 
Diabetes management education,Patient Education,Study Procedures 
Diabetes specific ER history,"Preexisting conditions and medical history, including relevant surgical history",Physical Examination
Dilated Fundoscopic Examination,Dilated fundoscopic examination,Procedures
Dispense BG meter/supplies,Dispense blood glucose meter,Study Procedures
Dispense BG meter/supplies as needed,Dispense blood glucose meter,Study Procedures
Dispense Glucose Meter,Dispense blood glucose meter,Study Procedures
Dispense glucose meter / supplies,Dispense blood glucose meter,Study Procedures
Dispense study diary,Patient diary dispensed,Study Procedures 
Dispense study drug and injection supplies,Dispense Study Drug,Study Procedures
Dispense study intervention(s),Dispense Study Drug,Study Procedures
ECG (12-lead local),12-lead ECG (central or local),Procedures
"EDTA Plasma, Serum, Urine (storage)",Exploratory biomarker samples,Labs
Fasting C-peptide,C-Peptide,Labs
Fasting chemistry,Comprehensive Metabolic Panel (Clinical Chemistry),Labs
Fasting glucose,Glucose,Labs
Fasting insulin,Insulin,Labs
Hypoglycemic Episodes,Hypoglycemic events review,Study Procedures
Informed Consent,Informed Consent,Study Procedures 
Informed Consent Signed,Informed Consent,Study Procedures 
"Informed Consent, patient number assigned",Informed Consent,Study Procedures 
Injection training,Injection Training,Study Procedures 
Injection training with autoinjector demonstration device,Injection Training,Study Procedures 
Instruct patients about follow-up period insulin.,Patient Education,Study Procedures 
Insulin drug dose techniques for follow-up period are reviewed.,Patient Education,Study Procedures 
Insulin titration,Study Drug Dose Adjustment,Study Procedures
IWSP,IW-SP,Questionnaires
Lipid profile,Lipid panel,Labs
Nonpharmacogenetic sample,Exploratory biomarker samples,Labs
Observe patient administer study drug,Observe patient administer study drug,Study Procedures 
Patient returns study drugs and injection supplies,Patient returns study drugs and injection supplies,Study Procedures
PG meter training,Dispense and train on use of blood glucose meter,Study Procedures
Pharmacogenetic,PK sample for immunogenicity,Labs
Physical Exam,Physical examination,Physical Examination
Pre-Existing Conditions,"Preexisting conditions and medical history, including relevant surgical history",Physical Examination
Pre-existing conditions and AEs,"Preexisting conditions and medical history, including relevant surgical history",Physical Examination
Preexisting conditions/AEs,"Preexisting conditions and medical history, including relevant surgical history",Physical Examination
"Pregnancy test, serum (females only)",Serum pregnancy,Labs
Record most recent study drug dose,Diary compliance check,Study Procedures
Remind patients about 7point SMBG,Patient Education,Study Procedures 
Review 4-point SMBG profiles,SMBG Profile,Study Procedures
Review diet and exercise goals,Patient Education,Study Procedures 
Review hypoglycemic events collected in the diary,Hypoglycemic events review,Study Procedures
Review/discuss hypo data,Hypoglycemic events review,Study Procedures
"Serum creatinine, eGFR (CKD-EPI)",eGFR (CKD-EPI),Labs
"Study diary, dispense",Patient diary dispensed,Study Procedures 
Study drug dose adjustment/dose titration,Study Drug Dose Adjustment,Study Procedures
Subject demographics,Demographics,Physical Examination
Titrate prandial doses (as needed),Study Drug Dose Adjustment,Study Procedures
Train on collecting 4-point and 10-point SMBG Profile,Patient Education,Study Procedures 
Training on signs/symptoms of hypo/hyperglycemia,Patient Education,Study Procedures 
TSH,Thyroid Stimulating Hormone (TSH),Labs
Urinalysis and UACR,Urinalysis,Labs
Urinary albumin/ creatinine ratio,Urinary albumin/creatinine ratio (UACR),Labs
Vital signs (BP and PR),Vital Signs,Physical Examination
WPAI-GH,Patient-Reported Outcomes (Paper),Study Procedures
12-lead ECG,12-lead ECG (central or local),Procedures
4-point SMPG,SMBG Profile,Study Procedures
4-pt SMBG,SMBG Profile,Study Procedures
7-point SMBG profile,SMBG Profile,Study Procedures
Adherence/lifestyle reinforcement,Patient Education,Study Procedures 
Administer Adult Low Blood Sugar Survey (ALBSS),Patient-Reported Outcomes (Paper),Study Procedures
Administer Insulin Treatment Satisfaction Questionnaire (ITSQ),IT-SQ,Questionnaires
AEs and product complaints,Adverse events (AEs),Physical Examination
Age,Demographics,Physical Examination
Albumin/creatinine ratio (urine),Urinary albumin/creatinine ratio (UACR),Labs
Anti-dulaglutide antibody titer,Anti-Drug Antibodies,Labs
Anti-GAD antibody,Anti-GAD antibodies,Labs
Antibodies to dulaglutide,Anti-Drug Antibodies,Labs
Antidiabetic medication,Concomitant medications,Physical Examination
AntiGAD antibody,Anti-GAD antibodies,Labs
"AST, ALT, GGT, total bilirubin and direct bilirubin, Alkaline Phosphatase",Comprehensive Metabolic Panel (Clinical Chemistry),Labs
Basal and prandial insulin dose assessment,Study Drug Dose Adjustment,Study Procedures
BG Level Monitoring Training,Dispense and train on use of blood glucose meter,Study Procedures
"BG meter, instructions",Dispense and train on use of blood glucose meter,Study Procedures
"BG meter/supplies, if needed",Dispense blood glucose meter,Study Procedures
Blood pressure and pulse rate,Vital Signs,Physical Examination
Cardiovascular risk factors,Prespecified medical history (indication and history of interest),Physical Examination
Chemistry panel (includes Cr for eGFR calculation and glucose),Comprehensive Metabolic Panel (Clinical Chemistry),Labs
Collect (unused) study drug,Patient returns study drugs and injection supplies,Study Procedures
Collect study diary,Diary return,Study Procedures
Collect Study Diary,Diary return,Study Procedures
Collect Study Drug,Patient returns study drugs and injection supplies,Study Procedures
Concom Meds,Concomitant medications,Physical Examination
CV risk assessment,Prespecified medical history (indication and history of interest),Physical Examination
Cystatin-c,Cystatin C,Labs
Cystatin-C,Cystatin C,Labs
Cystatinc,Cystatin C,Labs
Daily fasting SMBG,SMBG Profile,Study Procedures
Diabetes and nutrition counseling,Patient Education,Study Procedures 
Diary compliance check,Diary compliance check,Study Procedures
Diary return,Diary return,Study Procedures
Diary review,Diary compliance check,Study Procedures
Diary use training,Patient diary dispensed,Study Procedures 
Diary Use Training,Patient diary dispensed,Study Procedures 
"Diet, exercise, BG counseling",Patient Education,Study Procedures 
Diet/Exercise Counseling,Patient Education,Study Procedures 
"Dispense blood glucose meter, monitoring and ancillary supplies and complete training",Dispense and train on use of blood glucose meter,Study Procedures
"Dispense diary, instruct in use",Patient diary dispensed,Study Procedures 
Dispense diary; instruct in use,Patient diary dispensed,Study Procedures 
Dispense eCOA and complete training,Patient diary dispensed,Study Procedures 
Dispense glucose meter,Dispense blood glucose meter,Study Procedures
Dispense glucose meter/study supplies,Dispense blood glucose meter,Study Procedures
Dispense injection supplies,Dispense ancillary supplies to patient,Study Procedures
Dispense Study Diary,Patient diary dispensed,Study Procedures 
Dispense study drug and/or injection supplies,Dispense Study Drug,Study Procedures
Dispense study drugs and/or injection supplies,Dispense Study Drug,Study Procedures
Dispense Supplies for Glucose Meter,Dispense blood glucose meter,Study Procedures
Distribute study diary,Patient diary dispensed,Study Procedures 
Distribute Study Diary,Patient diary dispensed,Study Procedures 
DNA Sample Storage,Stored Samples,Labs
Drug dose: OAM dose (dose prior to visit),Administer Study Drug,Study Procedures
"Fasting glucose, insulin, C-peptide, and lipids",Glucose,Labs
Fasting plasma glucose,Glucose,Labs
Folliclestimulating hormone test,Follicle Stimulating Hormone (FSH),Labs
Full physical examination,Physical examination,Physical Examination
Gender,Demographics,Physical Examination
Glucometer Training,Patient Education,Study Procedures 
Glucose (fasting),Glucose,Labs
Hepatitis B,Hepatitis B Virus (HBV) screening tests,Labs
History,Prespecified medical history (indication and history of interest),Physical Examination
History and physical examination,Prespecified medical history (indication and history of interest),Physical Examination
Immuno-genicity,Immunogencity (ADA) samples,Labs
Immunogenicity (includes PK sample),Immunogencity (ADA) samples,Labs
Inclusion and exclusion criteria,"Inclusion and exclusion criteria, review and confirm",Study Procedures 
Inclusion/exclusion criteria,"Inclusion and exclusion criteria, review and confirm",Study Procedures 
Informed ConsentObtained,Informed Consent,Study Procedures 
Injection site inspection,Injection Training,Study Procedures 
Injection TechniqueTraining,Injection Training,Study Procedures 
Insulin antibodies,Anti-Drug Antibodies,Labs
Insulin Antibodies,Anti-Drug Antibodies,Labs
Insulin Therapy Dose(day prior to visit),Administer Study Drug,Study Procedures
IWQOL-Lite-CT,IWQOL,Questionnaires
Lifestyle Program Instruction,Patient Education,Study Procedures 
Lipase and amylase,Lipase,Labs
Nonpharmacogenetic,Exploratory biomarker samples,Labs
Nonpharmacogenetic biomarker storage samples,Exploratory biomarker samples,Labs
Nonpharmacogenetic samples,Exploratory biomarker samples,Labs
Nonpharmacogenetic stored sample,Exploratory biomarker samples,Labs
Nonpharmacogenetic stored samples,Exploratory biomarker samples,Labs
Observe participant administer study intervention,Observe patient administer study drug,Study Procedures 
Pancreatic Amylase,Pancreatic Amylase,Labs
Participant returns study interventions and injection supplies,Patient returns study drugs and injection supplies,Study Procedures
Patient eligibility review,"Inclusion and exclusion criteria, review and confirm",Study Procedures 
Patient evaluated for the need for rescue therapy,Symptom-directed physical examination,Physical Examination
Patient NumberAssigned,Randomization/IWRS,Study Procedures
Patient returns study drugs and/or injection supplies,Patient returns study drugs and injection supplies,Study Procedures
Patient returns used and unused study drug supplies,Patient returns study drugs and injection supplies,Study Procedures
Patient returns used study drug/injection supplies,Patient returns study drugs and injection supplies,Study Procedures
"PG meter, SMPG training",Dispense and train on use of blood glucose meter,Study Procedures
Pharmaco-genetic sample,PK sample for immunogenicity,Labs
Pharmacogenetics sample,PK sample for immunogenicity,Labs
PK only Visit,PK sample for immunogenicity,Labs
PK sample for immunogenicity,PK sample for immunogenicity,Labs
Plasma glucagon (fasting),Glucagon,Labs
Pre-existing conditions,Prespecified medical history (indication and history of interest),Physical Examination
Pre-existingConditions,Prespecified medical history (indication and history of interest),Physical Examination
Pregnancy Screen,Urine pregnancy (local),Labs
Pulse rate and blood pressure,Vital Signs,Physical Examination
Record 6-point SMPG values,SMBG Profile,Study Procedures
Record 7-point SMBG profile,SMBG Profile,Study Procedures
Remind participants about 7point SMBG,Patient Education,Study Procedures 
Remind patient of 10-point SMBG requirements,Patient Education,Study Procedures 
Remind patients about 6-point SMPG,Patient Education,Study Procedures 
Remind patients about 7-point SMBG,Patient Education,Study Procedures 
Return of eCOA devices,Diary return,Study Procedures
Return study diary,Diary return,Study Procedures
Review 10-point SMBG profiles,Diary compliance check,Study Procedures
Review 7-point SMBG values collected in the diary,Diary compliance check,Study Procedures
Review 7point SMBG values collected in the diary,Diary compliance check,Study Procedures
Review BG values,Diary compliance check,Study Procedures
Review of subcutaneous injection training,Injection Training,Study Procedures 
"Review patient diaries for BG values, AEs, hypoglycemic or hyperglycemic events",Diary compliance check,Study Procedures
Review SMPG values,Diary compliance check,Study Procedures
SelfHarm Followup Form,C-SSRS Since Last Visit,Questionnaires
SelfHarm Supplement Form,C-SSRS Since Last Visit,Questionnaires
"Serum creatinine, eGFR (CKDEPI)",Creatinine,Labs
Serum insulin (fasting),Insulin,Labs
Serum pregnancy test (WCBP only),Serum pregnancy,Labs
"SF-36 v2, acute form",SF-36,Questionnaires
SF36v2 acute form,SF-36,Questionnaires
Single 12-lead ECG,12-lead ECG (central or local),Procedures
Sitting BP and PR,Vital Signs,Physical Examination
"Study drug and injection supplies, dispense",Dispense Study Drug,Study Procedures
Study drug injection training with demo device,Injection Training,Study Procedures 
"Study drug, assess compliance",Assess study drug compliance,Study Procedures
Study participant training/education,Patient Education,Study Procedures 
Study personnel administer IP at site,Observe patient administer study drug,Study Procedures 
Supine and standing BP and PR,Vital Signs,Physical Examination
Thyroid-stimulating hormone (TSH),Thyroid Stimulating Hormone (TSH),Labs
Tirzepatide PK,PK sample for immunogenicity,Labs
Titrate Basal Insulin,Insulin,Labs
"Total amylase, pancreatic amylase, and lipase",Pancreatic Amylase,Labs
Total and active GLP1/GIP,PK sample for immunogenicity,Labs
Training on signs/symptoms of insulin reactions,Patient Education,Study Procedures 
"Under investigative staff supervision, patient self injects or receives injection of IP",Observe patient administer study drug,Study Procedures 
Urinalysis/urinary albumin/creatinine,Urinary albumin/creatinine ratio (UACR),Labs
Urinary albumin/creatinine,Urinary albumin/creatinine ratio (UACR),Labs
