SoA Element - Raw Text Extract,Standard Activity - Display in UI
Lifestyle Program instructions*,Patient Education,Study Procedures 
Lipid Panel,Lipid panel,Labs
Lipid Panel -,Lipid panel,Labs
Lipid panel(fasting),Lipid panel,Labs
Lipid Profile,Lipid panel,Labs
Liver panel,Hepatic Panel (Liver Tests),Labs
Liver Panel,Hepatic Panel (Liver Tests),Labs
Liver Tests,Hepatic Panel (Liver Tests),Labs
Local pregnancy test,Urine pregnancy (local),Labs
LY PK,PK sample for immunogenicity,Labs
LY2189265 plasma concentrations,PK sample for immunogenicity,Labs
LY2605541 antibody,PK sample for immunogenicity,Labs
LY3053102 PK,PK sample for immunogenicity,Labs
LY3209590 accountability (collect used and unused IP),Assess study drug compliance,Study Procedures
LY3209590 and degludec accounta-bility (collect used and unused IP),Assess study drug compliance,Study Procedures
LY3209590 anti-drug antibodies,Anti-Drug Antibodies,Labs
LY3209590 PK,PK sample for immunogenicity,Labs
Medical Assessment (including skin assessment),Physical examination,Physical Examination
Medical assessment (skin evaluation),Physical examination,Physical Examination
Medical Assessment (skin evaluation),Physical examination,Physical Examination
Medical History & Height,Prespecified medical history (indication and history of interest),Physical Examination
Medical History (General),Prespecified medical history (indication and history of interest),Physical Examination
Medical history (includes substance usage and family history of premature CV disease),Prespecified medical history (indication and history of interest),Physical Examination
Medical history (includes substance usage and history of CV disease),Prespecified medical history (indication and history of interest),Physical Examination
Medical History and Pre-existing Conditions,Prespecified medical history (indication and history of interest),Physical Examination
Michigan Neuropathy Screening Instrument (MNSI),Patient-Reported Outcomes (Paper),Study Procedures
Non- Pharmaco-genetic stored sample,Exploratory biomarker samples,Labs
Nonpharmacogenetic biomarker (plasma and serum),Exploratory biomarker samples,Labs
Nonpharmacogenetic biomarker (plasma and serum) (stored sample),Exploratory biomarker samples,Labs
Nonpharmacogenetic biomarker sample (plasma),Exploratory biomarker samples,Labs
Nonpharmacogenetic Biomarker Sample (Plasma),Exploratory biomarker samples,Labs
Nonpharmacogenetic biomarker sample (serum),Exploratory biomarker samples,Labs
Nonpharmacogenetic Biomarker Sample (Serum),Exploratory biomarker samples,Labs
"Nonpharmacogenetic biomarkers sample storage (plasma, serum, urine)",Exploratory biomarker samples,Labs
"Nonpharmacogenetic stored sampleEDTA plasma, serum, P800 plasma",Exploratory biomarker samples,Labs
"Nonpharmacogenetic stored sampleEDTA plasma, serum, P800 plasma-2.0 mL",Exploratory biomarker samples,Labs
Nonpharmacogenetic Stored Samples,Exploratory biomarker samples,Labs
"Nonpharmacogenetic stored samples:EDTA plasma, Serum, P800 plasma2.0 ml",Exploratory biomarker samples,Labs
OAM dose (1 day before visit),Administer Study Drug,Study Procedures
Observe participant administer study drug,Observe patient administer study drug,Study Procedures 
Observe participant administer study drug intervention,Observe patient administer study drug,Study Procedures 
Observe participant administer study intervention(s),Observe patient administer study drug,Study Procedures 
Observe patient administer LY3298176,Observe patient administer study drug,Study Procedures 
Observe patient Administer LY3298176,Observe patient administer study drug,Study Procedures 
Observe patient administer tirzepatide,Observe patient administer study drug,Study Procedures 
OGTT Timed Draws,Blood Draw,Labs
OmniPod U-500 Exit Questionnaire for CSII subjects,Patient-Reported Outcomes (Paper),Study Procedures
Optional Telephone Visit,Telephone Call,Study Procedures
Pancreatic amylase and Lipase,Pancreatic Amylase,Labs
Pancreatic enzymes,Pancreatic Amylase,Labs
Participant demographics,Demographics,Physical Examination
Participant diary dispensed,Patient diary dispensed,Study Procedures 
Participant eligibility review,"Inclusion and exclusion criteria, review and confirm",Study Procedures 
Participant or study personnel administer at site,Observe patient administer study drug,Study Procedures 
Participant returns study drug intervention and injection supplies,Patient returns study drugs and injection supplies,Study Procedures
Participant returns study drugs and injection supplies,Patient returns study drugs and injection supplies,Study Procedures
Participant returns study intervention(s) and injection supplies,Patient returns study drugs and injection supplies,Study Procedures
Participant returns unused study drug supplies,Patient returns study drugs and injection supplies,Study Procedures
Participant returns unused study intervention and injection supplies,Patient returns study drugs and injection supplies,Study Procedures
"Patient education (diabetes education, glucose management, dietary instruction)",Patient Education,Study Procedures 
"Patient education/training (diabetes education, glucose management, dietary instructions)",Patient Education,Study Procedures 
Patient Health Questionnaire9 (PHQ9),PHQ-9,Questionnaires
Patient number assigned,Randomization/IWRS,Study Procedures
Patient Reported Outcomes (paper),Patient-Reported Outcomes (Paper),Study Procedures
Patient reported outcomes questionnaire (APPADL and IW-SP),APP ADL,Questionnaires
Patient returns study drug vials,Patient returns study drugs and injection supplies,Study Procedures
Patient returns study drug/supplies,Patient returns study drugs and injection supplies,Study Procedures
Patient returns unused study drug supplies,Patient returns study drugs and injection supplies,Study Procedures
Patient Training/Education,Patient Education,Study Procedures 
PG meter and SMPG training,Dispense and train on use of blood glucose meter,Study Procedures
PGx sample,PK sample for immunogenicity,Labs
Pharmaco- genetic stored sample,PK sample for immunogenicity,Labs
Pharmaco-kinetic samples (LY3209590),PK sample for immunogenicity,Labs
Pharmacogenetic (stored sample),PK sample for immunogenicity,Labs
Pharmacogenetic Sample,PK sample for immunogenicity,Labs
Pharmacogenetic sample (storage),PK sample for immunogenicity,Labs
Pharmacogenetic sample for storage,PK sample for immunogenicity,Labs
Pharmacogenetic samples,PK sample for immunogenicity,Labs
Pharmacogenetic stored samples,PK sample for immunogenicity,Labs
Pharmacokinetic blood samples,PK sample for immunogenicity,Labs
Pharmacokinetics (see PK schedule),PK sample for immunogenicity,Labs
PHQ-9,PHQ-9,Questionnaires
PHQ-9*,PHQ-9,Questionnaires
PHQ9,PHQ-9,Questionnaires
Physical exam by physician (w/Tanner staging),Physical examination,Physical Examination
Physical Exam/Height,Physical examination,Physical Examination
Physical Examination (including skin assessment),Physical examination,Physical Examination
PK,PK sample for immunogenicity,Labs
PK Sample,PK sample for immunogenicity,Labs
PK sample for Immuno-genicity,PK sample for immunogenicity,Labs
PK samples,PK sample for immunogenicity,Labs
PK Sampling,PK sample for immunogenicity,Labs
PK specific Visit,PK sample for immunogenicity,Labs
PK Specific Visit,PK sample for immunogenicity,Labs
"Plasma, Serum, and Urine (storage)",Exploratory biomarker samples,Labs
Pre-existing Conditions,Prespecified medical history (indication and history of interest),Physical Examination
Pre-existing conditions/adverse events,Prespecified medical history (indication and history of interest),Physical Examination
Preexisting conditions and adverse events,Prespecified medical history (indication and history of interest),Physical Examination
"Preexisting conditions and medical history,including relevant surgical history",Prespecified medical history (indication and history of interest),Physical Examination
Preexisting conditions/adverse events,Prespecified medical history (indication and history of interest),Physical Examination
Pregnancy screen,Urine pregnancy (local),Labs
"Pregnancy Test, FSH, Estradiol",Urine pregnancy (local),Labs
Previous insulin exposure,Prespecified medical history (indication and history of interest),Physical Examination
"Provide instruction on insulin storage, dosing and administration using prefilled pens",Patient Education,Study Procedures 
"Provide instruction on insulin storage, dosing and administration with a U100 prefilled pen",Patient Education,Study Procedures 
"Provide instruction on insulin storage, dosing and administration with prefilled pen",Patient Education,Study Procedures 
"Provide instruction on insulin storage, dosing and administration with vial and syringe",Patient Education,Study Procedures 
"Provide instruction on insulin storage, dosing, and administration with prefilled pen",Patient Education,Study Procedures 
Race/ethnicity,Demographics,Physical Examination
Race/Ethnicity,Demographics,Physical Examination
Random blood glucose,Glucose,Labs
Randomiz-ation,Randomization/IWRS,Study Procedures
Record 7-point SMPG values,SMBG Profile,Study Procedures
Record AEs,Adverse events (AEs),Physical Examination
Record current CSII therapy (infusion set and pump),Prespecified medical history (indication and history of interest),Physical Examination
"Record diary and CGM data (including FPG, hypoglycemia)",Hypoglycemic events review,Study Procedures
Record most recent investigational product dose,Assess study drug compliance,Study Procedures
Record preexisting conditions,Prespecified medical history (indication and history of interest),Physical Examination
Record previous weeksâ 8-point SMPG,SMBG Profile,Study Procedures
Record recent study drug dose/dose adjustment,Assess study drug compliance,Study Procedures
Record study drug dose for previous 7 days and compliance to injection timing.,Assess study drug compliance,Study Procedures
Record total daily pre-randomization insulin dose from 3 days prior to randomization,Assess study drug compliance,Study Procedures
Register study visit in IWRS,Randomization/IWRS,Study Procedures
Remind participant of study diary requirements,Patient Education,Study Procedures 
Remind participants about 7-point SMBG,Patient Education,Study Procedures 
Remind patient about 7-point SMBG,Patient Education,Study Procedures 
Remind Patient to perform 6point SMBG profiles prior to next visit,Patient Education,Study Procedures 
Remind Patients about 7point SMBG,Patient Education,Study Procedures 
Remind patients about 8point SMPG,Patient Education,Study Procedures 
Remind patients to obtain 8-point SMPG before next visit,Patient Education,Study Procedures 
Remind patients to obtain 8point SMPGbefore next visit,Patient Education,Study Procedures 
Remind subject of 10-point SMBG requirements,Patient Education,Study Procedures 
Return ABPM,Patient returns study drugs and injection supplies,Study Procedures
Return study devices,Patient returns study drugs and injection supplies,Study Procedures
Return study mobile device and CGM reader,Patient returns study drugs and injection supplies,Study Procedures
Return/record study diary,Diary return,Study Procedures
Return/review subject diaries,Diary return,Study Procedures
Review 10-point SMBG Profiles,Diary compliance check,Study Procedures
Review 6point SMBG profiles,Diary compliance check,Study Procedures
Review 7-Point SMBG Profile,Diary compliance check,Study Procedures
Review 7-point SMBG values collected,Diary compliance check,Study Procedures
Review 7-point SMBG values collected in diary,Diary compliance check,Study Procedures
Review 7-point SMBG values collected in the diaries,Diary compliance check,Study Procedures
Review 7point SMBG values collected in diary,Diary compliance check,Study Procedures
Review adverse events,Adverse events (AEs),Physical Examination
"Review and assess insulin dose adjustment [insulin glargine (U100) and insulin lispro (U100) TID, if applicable] per TTT algorithm",Study Drug Dose Adjustment,Study Procedures
Review concomitant medication,Concomitant medications,Physical Examination
"Review diary and CGM data (including FPG, hypoglycemia)",Hypoglycemic events review,Study Procedures
Review diet and exercise goals*,Patient Education,Study Procedures 
Review e-diaries,Diary compliance check,Study Procedures
Review Fasting and 4-Point SMBG Profile,Diary compliance check,Study Procedures
Review fasting/4-point PG from SMPG,Diary compliance check,Study Procedures
Review hypoglycemic events collected in diary,Hypoglycemic events review,Study Procedures
Review hypoglycemic events collected in the diaries,Hypoglycemic events review,Study Procedures
Review injection technique,Injection Training,Study Procedures 
Review insulin dose change/dose titration and advise patient,Study Drug Dose Adjustment,Study Procedures
Review insulin glargine (U100) dosing and assess the need for dose adjustment,Study Drug Dose Adjustment,Study Procedures
Review patient diaries for hypoglycemic and/or hyperglycemic events,Hypoglycemic events review,Study Procedures
Review signs and symptoms of hypoglycemia and hyperglycemia,Hypoglycemic events review,Study Procedures
Review SMBG and hypoglycemic events in the diary for diabetes management,Hypoglycemic events review,Study Procedures
"Review SMBG, basal insulin dose, and hypo data to make dose individualiz-ation assessment",Diary compliance check,Study Procedures
Review Study Diaries for Home Urine Pregnancy Test and Other Assessments Defined in the Diary,Diary compliance check,Study Procedures
"Review study participant diary, including study drug compliance*",Diary compliance check,Study Procedures
Review/discuss CGM data and hypoglycemia events,Hypoglycemic events review,Study Procedures
Review/record 6-point SMPG values,Diary compliance check,Study Procedures
Review/record 7-point SMPG values,Diary compliance check,Study Procedures
Screening laboratory tests,Blood Draw,Labs
Screening Laboratory Tests,Blood Draw,Labs
Second dose escalation,Study Drug Dose Adjustment,Study Procedures
Self-Harm Follow-up Form,C-SSRS Since Last Visit,Questionnaires
Self-Harm Follow-up Form*,C-SSRS Since Last Visit,Questionnaires
Self-Harm Supplement Form,C-SSRS Since Last Visit,Questionnaires
Self-Harm Supplement Form*,C-SSRS Since Last Visit,Questionnaires
Self-titration training,Patient Education,Study Procedures 
Self-titration Training,Patient Education,Study Procedures 
Serum calcitonin,Calcitonin,Labs
Serum creatinine,Creatinine,Labs
Serum FSH (females),Follicle Stimulating Hormone (FSH),Labs
Serum Pregnancy,Serum pregnancy,Labs
Serum pregnancy (females),Serum pregnancy,Labs
Serum Pregnancy Test,Serum pregnancy,Labs
Serum pregnancy test (in WOCBP),Serum pregnancy,Labs
"SF-36, version 2 acute",SF-36,Questionnaires
SF-36v2 acute,SF-36,Questionnaires
Single safety ECGs,12-lead ECG (central or local),Procedures
Site collection of IP,Patient returns study drugs and injection supplies,Study Procedures
SMBG,SMBG Profile,Study Procedures
Spot urine ACR,Urinary albumin/creatinine ratio (UACR),Labs
Standard clinical chemistries and hematology,Comprehensive Metabolic Panel (Clinical Chemistry),Labs
"Stored samples : DNA, Serum & Plasma",Exploratory biomarker samples,Labs
Stored samples; pharmacogenetic analysis,PK sample for immunogenicity,Labs
"Stored samples; urine, serum, plasma samples for biomarker analyses",Exploratory biomarker samples,Labs
Study diary return/review,Diary compliance check,Study Procedures
Study drug accountability,Assess study drug compliance,Study Procedures
Study drug dose adjustment/ titration,Study Drug Dose Adjustment,Study Procedures
Study drug dose tapering information,Study Drug Dose Adjustment,Study Procedures
Study drug injection,Administer Study Drug,Study Procedures
Study Drug Return/Patient Drug Compliance,Assess study drug compliance,Study Procedures
Study intervention training,Patient Education,Study Procedures 
Study participant CGM Training,Patient Education,Study Procedures 
Study participant or study personnel administer at site,Observe patient administer study drug,Study Procedures 
Subcutaneous injection training and review of technique,Injection Training,Study Procedures 
Subject Demographics,Demographics,Physical Examination
Subject Drug Compliance,Assess study drug compliance,Study Procedures
Subject eligibility review,"Inclusion and exclusion criteria, review and confirm",Study Procedures 
Subject records 7-point SMBG profiles,SMBG Profile,Study Procedures
Subject returns used and unused study drug supplies,Patient returns study drugs and injection supplies,Study Procedures
Subject Returns Used and Unused Study Drug Supplies,Patient returns study drugs and injection supplies,Study Procedures
Subject study drug compliance (review returned unused tablets),Assess study drug compliance,Study Procedures
"Substance use: alcohol, tobacco, caffeine",Prespecified medical history (indication and history of interest),Physical Examination
Supine and standing BP (orthostatic vital signs),Vital Signs,Physical Examination
Symptom-directed physical exam by physician,Physical examination,Physical Examination
Symptom-driven physical exam,Physical examination,Physical Examination
Telemedicine Visit,Telephone Call,Study Procedures
Telephone call for visit reminder or informing patient of completion in the study,Telephone Call,Study Procedures
Thyroid stimulating hormone,Thyroid Stimulating Hormone (TSH),Labs
Timed serum glucose,Glucose,Labs
Titrate basal insulin,Study Drug Dose Adjustment,Study Procedures
Tobacco habits (cigarette smoking),Prespecified medical history (indication and history of interest),Physical Examination
Tobacco Habits (cigarette smoking),Prespecified medical history (indication and history of interest),Physical Examination
"Train on Collecting Fasting, 4-Point, and 7-point SMBG Profile",Patient Education,Study Procedures 
Train on use of study paper diary for collection of insulin dose data,Patient Education,Study Procedures 
Train participantsin IP administration,Patient Education,Study Procedures 
Train study participant in IP administration,Patient Education,Study Procedures 
Training on 7-point SMBG profiles,Patient Education,Study Procedures 
Training on detecting Hypoglycemic /hyperglycemic events,Hypoglycemic events review,Study Procedures
Training on detecting hypoglycemic/hyperglycemic events,Hypoglycemic events review,Study Procedures
"Training on glucose meter , hypoglycemia and diary completion",Dispense and train on use of blood glucose meter,Study Procedures
Training on glucose meter supplies and hypoglycemia,Dispense and train on use of blood glucose meter,Study Procedures
Training on injection and covered vial,Injection Training,Study Procedures 
"Training on insulin injection, rotation, and skin reaction",Injection Training,Study Procedures 
Training on OmniPod U-500(CSII treatment arm only),Patient Education,Study Procedures 
Training on Signs/Symptoms of Insulin Reactions,Patient Education,Study Procedures 
Training on study drug storage and use of covered vial,Patient Education,Study Procedures 
Training on the use of insulin glargine and the Treat-to-Target algorithm,Patient Education,Study Procedures 
Training on weight-maintaining diet,Patient Education,Study Procedures 
Treatment assignment,Randomization/IWRS,Study Procedures
TRIM-D,Patient-Reported Outcomes (Paper),Study Procedures
TRIM-DD,Patient-Reported Outcomes (Paper),Study Procedures
Triplicate ECGs,12-lead ECG (central or local),Procedures
"TSH, Creatinine Clearance",Thyroid Stimulating Hormone (TSH),Labs
TZP PK,PK sample for immunogenicity,Labs
"Under investigative staff provision, subject self injects or receives injection of IP under investigative staff supervision",Observe patient administer study drug,Study Procedures 
"Under investigative staff supervision, patient self-injects or receives injection of IP",Observe patient administer study drug,Study Procedures 
Urinalysis (routine and microscopic),Urinalysis,Labs
Urinalysis (Routine and Microscopic),Urinalysis,Labs
"Urine albumin, creatinine, UACR",Urinary albumin/creatinine ratio (UACR),Labs
Urine pregnancy,Urine pregnancy (local),Labs
Urine Pregnancy,Urine pregnancy (local),Labs
Urine Pregnancy (local),Urine pregnancy (local),Labs
Urine pregnancy test (WCBP only),Urine pregnancy (local),Labs
Urine pregnancy test (WCBP only) (local),Urine pregnancy (local),Labs
Urine Pregnancy Test Completed at the Site,Urine pregnancy (local),Labs
Urine pregnancy test*,Urine pregnancy (local),Labs
Use IWRS to get study drug assignment,Randomization/IWRS,Study Procedures
Vital Signs,Vital Signs,Physical Examination
Vital signs (2 sitting BP and PR),Vital Signs,Physical Examination
Vital signs (3 sitting BP and HR)*,Vital Signs,Physical Examination
Vital signs (3 sitting BP and PR measurements),Vital Signs,Physical Examination
Vital signs (BP and HR measurements),Vital Signs,Physical Examination
Vital signs (BP and HR),Vital Signs,Physical Examination
"Vital signs (sitting SBP, DBP and PR)",Vital Signs,Physical Examination
"Vital Signs (sitting SBP, DBP, and pulse rate)",Vital Signs,Physical Examination
"Vital signs (sitting SBP, DBP, and pulse)",Vital Signs,Physical Examination
"Vital signs (sitting)SBP, DBP, and PR",Vital Signs,Physical Examination
"Vital signs (supine position and standing SBP, DBP and PR)",Vital Signs,Physical Examination
"Vital signs (systolic and diastolic blood pressure, pulse rate)",Vital Signs,Physical Examination
Vital Signs (Two sitting BP and HR measurements),Vital Signs,Physical Examination
"Vital Signs(Systolic and diastolic blood pressure, pulse rate)",Vital Signs,Physical Examination
"Vital signs, blood pressure and heart rate",Vital Signs,Physical Examination
Vital Signs: Blood Pressure/Pulse Rate,Vital Signs,Physical Examination
Vital signs: BP and PR,Vital Signs,Physical Examination
"Vitals: blood pressure/pulse rate, body temperature",Vital Signs,Physical Examination
Waist and hip circumference,Waist Circumference,Physical Examination
Waist Circumference,Waist Circumference,Physical Examination
Waist circumference (cm),Waist Circumference,Physical Examination
Weight*,Weight,Physical Examination